,Address,Price,Area,Room
0,other,685000.0,64.0,3
1,other,475000.0,60.0,3
2,other,850000.0,109.0,4
5,other,450000.0,53.0,2
8,other,399000.0,49.0,3
9,other,300000.0,33.0,2
10,other,540000.0,69.0,3
12,other,390000.0,45.0,3
14,other,650000.0,86.0,3
16,other,700000.0,102.0,6
20,other,1625000.0,199.0,6
21,other,575000.0,71.0,3
27,other,375000.0,51.0,3
28,other,1650000.0,235.0,7
29,other,325000.0,37.0,2
30,other,800000.0,98.0,3
31,other,1950000.0,258.0,4
32,other,735000.0,83.0,3
33,other,3925000.0,319.0,7
35,other,275000.0,31.0,2
37,other,570000.0,63.0,3
38,other,375000.0,43.0,2
40,other,365000.0,49.0,3
41,other,550000.0,62.0,3
43,other,429000.0,50.0,3
53,other,1185000.0,160.0,5
55,other,687500.0,86.0,4
56,other,585000.0,52.0,4
57,other,1295000.0,145.0,5
61,other,375000.0,52.0,4
63,other,850000.0,117.0,5
64,other,550000.0,72.0,3
69,other,369000.0,47.0,3
76,other,450000.0,56.0,3
81,other,650000.0,67.0,4
84,other,485000.0,73.0,4
85,other,225000.0,32.0,1
86,other,285000.0,29.0,2
87,other,995000.0,97.0,2
88,other,1475000.0,220.0,5
89,other,475000.0,60.0,3
93,other,400000.0,37.0,2
95,other,400000.0,53.0,3
100,other,500000.0,67.0,3
102,other,725000.0,95.0,3
103,other,4550000.0,497.0,13
107,other,475000.0,58.0,3
108,other,450000.0,53.0,2
110,other,475000.0,62.0,3
115,other,340000.0,35.0,2
123,other,975000.0,165.0,5
125,other,1100000.0,159.0,5
126,other,750000.0,102.0,3
127,other,439000.0,55.0,3
133,other,915000.0,88.0,5
136,other,1025000.0,135.0,4
142,other,1175000.0,159.0,7
143,other,995000.0,113.0,3
150,other,525000.0,64.0,4
154,other,360000.0,41.0,2
155,other,1050000.0,154.0,4
157,other,1700000.0,194.0,6
160,other,469000.0,50.0,3
161,other,625000.0,74.0,3
162,other,1050000.0,149.0,8
163,other,540000.0,79.0,4
171,other,1300000.0,141.0,4
172,other,1750000.0,130.0,3
173,other,950000.0,109.0,4
174,other,1450000.0,150.0,3
177,other,1500000.0,166.0,4
179,other,4495000.0,178.0,5
180,other,989000.0,171.0,5
181,other,765000.0,100.0,4
184,"Huidekoperstraat 24 F, Amsterdam",2475000.0,183.0,4
188,other,450000.0,45.0,2
190,other,350000.0,39.0,2
193,other,1295000.0,154.0,4
194,other,825000.0,103.0,3
195,other,5950000.0,394.0,10
198,other,1450000.0,125.0,2
200,other,1200000.0,105.0,4
201,other,1550000.0,153.0,5
202,other,1250000.0,147.0,4
204,other,395000.0,54.0,3
205,other,935000.0,85.0,3
206,other,1050000.0,63.0,3
207,other,729000.0,110.0,5
210,other,400000.0,25.0,2
212,other,950000.0,133.0,7
213,other,975000.0,93.0,3
218,other,1275000.0,165.0,5
219,other,375000.0,38.0,1
220,other,1595000.0,199.0,6
221,other,439000.0,48.0,2
222,other,785000.0,95.0,5
224,other,595000.0,78.0,3
225,other,875000.0,117.0,3
226,other,295000.0,29.0,2
228,other,439000.0,57.0,3
230,other,275000.0,23.0,1
231,other,2450000.0,259.0,8
233,other,1795000.0,158.0,6
234,other,835000.0,120.0,5
235,other,985000.0,111.0,5
237,other,635000.0,58.0,3
239,other,1050000.0,151.0,4
241,other,1099000.0,165.0,5
242,other,895000.0,103.0,3
243,"Uilengouw 2, Amsterdam",899000.0,258.0,1
246,other,750000.0,119.0,6
252,other,685000.0,94.0,3
253,other,2200000.0,198.0,7
254,other,650000.0,81.0,3
256,other,1200000.0,81.0,3
257,other,1495000.0,214.0,5
259,other,1000000.0,117.0,4
260,other,1150000.0,162.0,5
261,other,2250000.0,250.0,8
262,other,1350000.0,173.0,5
263,other,1650000.0,232.0,9
264,other,2750000.0,309.0,8
267,other,669000.0,107.0,5
269,other,425000.0,49.0,2
272,other,389000.0,30.0,2
274,other,1750000.0,246.0,8
276,other,3500000.0,374.0,7
279,other,1700000.0,203.0,5
280,other,2325000.0,150.0,6
281,other,1495000.0,175.0,6
